Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Ce-127M,Ce,58,127,M,126.92277238375345,False,28.6,28.60 s,28.6,s,1,['β+&EC'],[np.float64(1.0)],['La-127'],1973400.0,1973400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rb-78M,Rb,37,78,M,77.92816790242173,False,344.4,5.74 m,5.739999999999999,m,2,"['β+&EC', 'IT']","[np.float64(0.91), np.float64(0.09)]","['Kr-78', 'Rb-78']",3258119.0,1535942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6702321.0
Ho-159M,Ho,67,159,M,158.92772156803744,False,8.3,8.30 s,8.3,s,1,['IT'],[np.float64(1.0)],['Ho-159'],99952.85,103704.9,0.0,0.0,90150.0,0.0,0.0,0.0,0.0,0.0,0.0,205900.0
Hf-155,Hf,72,155,,154.96346530317538,False,0.89,890.00 ms,890.0,ms,1,['β+&EC'],[np.float64(1.0)],['Lu-155'],2817333.0,2817333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ds-267,Ds,110,267,,267.144392955818,False,2.8e-06,2.80 μs,2.8,μs,1,['α'],[np.float64(1.0)],['Hs-263'],0.0,0.0,12277000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag-96M,Ag,47,96,M,95.9307147822418,False,6.9,6.90 s,6.9,s,2,"['β+&EC', 'β+,p']","[np.float64(0.82), np.float64(0.18)]","['Pd-96', 'Rh-95']",3449000.0,3449000.0,289300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta-182M,Ta,73,182,M,181.9502038764688,False,0.283,283.00 ms,282.99999999999994,ms,1,['IT'],[np.float64(1.0)],['Ta-182'],1159.845,11015.68,0.0,0.0,0.3775,0.0,0.0,0.0,0.0,0.0,0.0,16260.000000000002
As-62,As,33,62,,61.97322161805042,False,0.0259,25.90 ms,25.9,ms,1,['p'],[np.float64(1.0)],['Ge-61'],0.0,0.0,1672000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ra-233,Ra,88,233,,233.04817805631885,False,30.0,30.00 s,30.0,s,1,['β-'],[np.float64(1.0)],['Ac-233'],1089667.0,1089667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cs-119M,Cs,55,119,M,118.9224428864302,False,30.4,30.40 s,30.4,s,1,['β+&EC'],[np.float64(1.0)],['Xe-119'],2163000.0,2163000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
